order_month,total_revenue,prev_month_revenue,mom_growth_pct
2017-01-01 00:00:00,127482.36999999972,,
2017-02-01 00:00:00,271239.31999999954,127482.36999999972,112.76614170257437
2017-03-01 00:00:00,414330.95,271239.31999999954,52.75475178156349
2017-04-01 00:00:00,390812.4000000006,414330.95,-5.676271589172715
2017-05-01 00:00:00,566851.4000000022,390812.4000000006,45.04437423172892
2017-06-01 00:00:00,490050.3700000037,566851.4000000022,-13.548706062999615
2017-07-01 00:00:00,566299.0800000058,490050.3700000037,15.559361785606137
2017-08-01 00:00:00,645832.3600000013,566299.0800000058,14.044395057112697
2017-09-01 00:00:00,701077.4900000001,645832.3600000013,8.554097537013899
2017-10-01 00:00:00,751117.0099999979,701077.4900000001,7.137516282258299
2017-11-01 00:00:00,1153364.1999999988,751117.0099999979,53.55319938766957
2017-12-01 00:00:00,843078.2899999993,1153364.1999999988,-26.902682604506
2018-01-01 00:00:00,1077887.4600000035,843078.2899999993,27.851407489096214
2018-02-01 00:00:00,966168.41,1077887.4600000035,-10.364630274110718
2018-03-01 00:00:00,1120598.2399999988,966168.41,15.98373828016161
2018-04-01 00:00:00,1132878.9299999992,1120598.2399999988,1.0959048088457128
2018-05-01 00:00:00,1128774.5199999942,1132878.9299999992,-0.3622990852169032
2018-06-01 00:00:00,1011978.289999995,1128774.5199999942,-10.34717101870795
2018-07-01 00:00:00,1027807.2799999985,1011978.289999995,1.5641630019556607
2018-08-01 00:00:00,985491.6399999922,1027807.2799999985,-4.117079225203227
